Sito,HTTP Requests,HTTP/2 Requests,HTTP/3 Requests
38.207.75.144,0,51809,0
178.238.223.35.bc.googleusercontent.com,0,299,0
ec2-44-205-132-46.compute-1.amazonaws.com,0,10,0
192.34.20.166.static.coresite.com,0,102,0
ec2-3-233-158-25.compute-1.amazonaws.com,0,17,0
51.105.71.137,0,20,0
151.101.130.186,0,88,0
146.75.53.29,0,142,0
a23-39-192-58.deploy.static.akamaitechnologies.com,0,165,0
40.79.167.8,0,15,0
mil07s12-in-f2.1e100.net,0,87,0
196.53.120.34.bc.googleusercontent.com,0,16,0
mil04s50-in-f2.1e100.net,0,18,3
ec2-54-73-195-97.eu-west-1.compute.amazonaws.com,0,136,0
192.168.1.102,94,0,18219
a23-39-119-2.deploy.static.akamaitechnologies.com,0,175,0
a23-39-125-15.deploy.static.akamaitechnologies.com,0,104,0
a2-17-101-11.deploy.static.akamaitechnologies.com,0,85,0
151.5.24.51,0,14,0
a23-39-116-42.deploy.static.akamaitechnologies.com,0,21,0
ip-103-132-192-30.rtbhouse.net,0,65,0
a23-39-119-130.deploy.static.akamaitechnologies.com,0,234,0
a2aa9ff50de748dbe.awsglobalaccelerator.com,0,19,0
mil04s51-in-f2.1e100.net,0,137,33
203.104.162.225,0,15,0
a23-39-119-93.deploy.static.akamaitechnologies.com,0,44,0
a2-16-135-233.deploy.static.akamaitechnologies.com,0,16,0
941.bm-nginx-loadbalancer.mgmt.ams3.adnexus.net,0,14,0
a2-17-101-42.deploy.static.akamaitechnologies.com,0,147,538
www.gstatic.com,6,0,0
172.64.149.10,0,87,0
152.199.19.160,0,114,0
server-18-65-66-177.fco50.r.cloudfront.net,0,57,0
server-52-222-132-100.fco50.r.cloudfront.net,0,15,0
a23-39-116-235.deploy.static.akamaitechnologies.com,0,223,0
a2-17-140-91.deploy.static.akamaitechnologies.com,0,2669,0
server-18-65-64-60.fco50.r.cloudfront.net,0,19,0
52.168.112.66,0,1,0
ec2-18-102-93-234.eu-south-1.compute.amazonaws.com,0,17,0
server-18-65-82-113.fco50.r.cloudfront.net,0,45,0
ec2-100-26-87-64.compute-1.amazonaws.com,0,13,0
ec2-3-122-40-188.eu-central-1.compute.amazonaws.com,0,15,0
a23-51-255-156.deploy.static.akamaitechnologies.com,0,28,0
a2-17-101-32.deploy.static.akamaitechnologies.com,0,18,0
ec2-54-204-202-163.compute-1.amazonaws.com,0,74,0
178.249.97.23,0,84,0
151.101.242.217,0,379,0
a2-17-140-204.deploy.static.akamaitechnologies.com,0,40,0
lo-accdn.lpsnmedia.net,0,67,0
lb-182-246.above.com,0,14,0
120.154.120.34.bc.googleusercontent.com,0,260,20
ip-63-140-62-27.data.adobedc.net,0,37,0
server-18-65-82-54.fco50.r.cloudfront.net,0,14,0
server-108-139-210-48.fco50.r.cloudfront.net,0,99,0
ec2-54-158-164-13.compute-1.amazonaws.com,0,21,0
server-52-222-130-94.fco50.r.cloudfront.net,0,19,0
185.151.204.202,0,13,0
ec2-3-122-176-248.eu-central-1.compute.amazonaws.com,0,20,0
ec2-3-120-73-50.eu-central-1.compute.amazonaws.com,0,30,0
146.75.61.21,0,67,0
40.177.147.34.bc.googleusercontent.com,0,26,0
ip-66-235-152-221.data.adobedc.net,0,23,0
ip-63-140-62-17.data.adobedc.net,0,50,0
141.193.213.10,0,110,724
58.39.117.34.bc.googleusercontent.com,0,16,0
a23-39-199-93.deploy.static.akamaitechnologies.com,0,309,0
secure.trust-provider.com,0,29,0
ec2-3-124-173-63.eu-central-1.compute.amazonaws.com,0,63,5
a23-10-245-43.deploy.static.akamaitechnologies.com,0,306,0
ip-66-235-152-156.data.adobedc.net,0,19,0
184.232.244.35.bc.googleusercontent.com,0,152,14
146.75.54.27,0,61,0
ec2-52-48-180-95.eu-west-1.compute.amazonaws.com,0,20,0
ec2-34-252-167-206.eu-west-1.compute.amazonaws.com,0,14,0
ip-63-140-62-222.data.adobedc.net,0,55,0
1006.bm-nginx-loadbalancer.mgmt.fra1.adnexus.net,0,84,0
server-52-222-130-59.fco50.r.cloudfront.net,0,76,0
68.174.244.35.bc.googleusercontent.com,0,61,20
146.75.53.175,0,47,0
151.101.242.83,0,16,0
151.101.242.81,0,16,0
241.177.202.35.bc.googleusercontent.com,0,9,0
138.68.237.202,0,22,0
ec2-54-82-13-248.compute-1.amazonaws.com,0,10,0
a23-32-220-102.deploy.static.akamaitechnologies.com,0,376,0
84.72.149.34.bc.googleusercontent.com,0,175,0
172.175.234.12,0,474,0
55.58.111.34.bc.googleusercontent.com,0,15,0
13.74.129.1,0,114,0
199.33.111.34.bc.googleusercontent.com,0,24,0
ec2-52-31-110-142.eu-west-1.compute.amazonaws.com,0,34,0
119.244.178.107.bc.googleusercontent.com,0,107,0
ec2-54-77-122-229.eu-west-1.compute.amazonaws.com,0,13,0
ip-66-235-152-225.data.adobedc.net,0,16,0
server-13-226-244-11.fco50.r.cloudfront.net,0,46,0
server-52-222-130-124.fco50.r.cloudfront.net,0,30,0
224.240.178.107.bc.googleusercontent.com,0,26,8
server-52-222-130-87.fco50.r.cloudfront.net,0,15,0
linux1127.grserver.gr,0,536,0
